prompt_id,prompt,shot,format,gpt_output
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",0,text,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",0,markdown,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",0,yaml,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",0,json,unknown
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",1,text,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",1,markdown,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",1,yaml,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",1,json,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",3,text,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",3,markdown,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",3,yaml,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",3,json,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",5,text,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",5,markdown,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",5,yaml,positive
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere .",5,json,positive
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",0,text,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",0,markdown,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",0,yaml,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",0,json,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",1,text,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",1,markdown,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",1,yaml,negative
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man .",1,json,negative
