prompt_id,shot,format,accuracy
1,0,text,0.8
1,0,markdown,0.8
1,0,yaml,0.9
1,0,json,1.0
2,0,text,1.0
2,0,markdown,0.9
2,0,yaml,1.0
2,0,json,0.7
3,0,text,0.6
3,0,markdown,0.6
3,0,yaml,0.9
3,0,json,0.9
4,0,text,0.62
4,0,markdown,0.89
4,0,yaml,0.8
4,0,json,0.78
5,0,text,0.9
5,0,markdown,0.8
5,0,yaml,0.6
5,0,json,0.11
6,0,text,1.0
6,0,markdown,1.0
6,0,yaml,1.0
6,0,json,1.0
7,0,text,1.0
7,0,markdown,1.0
7,0,yaml,1.0
7,0,json,1.0
8,0,text,1.0
8,0,markdown,0.9
8,0,yaml,1.0
8,0,json,1.0
9,0,text,0.4
9,0,markdown,0.22
9,0,yaml,0.2
9,0,json,0.4
10,0,text,0.8
10,0,markdown,0.89
10,0,yaml,0.67
10,0,json,0.9
