prompt_id,shot,format,reproducibility
1,0,markdown,0.64
1,1,markdown,1.0
1,3,markdown,1.0
1,5,markdown,1.0
2,0,markdown,0.8
2,1,markdown,0.8
2,3,markdown,0.8
2,5,markdown,0.8
3,0,markdown,0.29
3,1,markdown,0.31
3,3,markdown,0.64
3,5,markdown,0.44
4,0,markdown,0.62
4,1,markdown,0.8
4,3,markdown,0.8
4,5,markdown,0.8
5,0,markdown,0.49
5,1,markdown,0.27
5,3,markdown,0.27
5,5,markdown,0.44
6,0,markdown,1.0
6,1,markdown,0.8
6,3,markdown,0.8
6,5,markdown,1.0
7,0,markdown,0.8
7,1,markdown,0.62
7,3,markdown,1.0
7,5,markdown,1.0
8,0,markdown,0.8
8,1,markdown,0.62
8,3,markdown,0.4
8,5,markdown,1.0
9,0,markdown,0.22
9,1,markdown,0.38
9,3,markdown,0.36
9,5,markdown,0.4
10,0,markdown,0.62
10,1,markdown,1.0
10,3,markdown,0.8
10,5,markdown,1.0
