prompt_id,shot,format,accuracy
1,0,markdown,0.8
1,1,markdown,1.0
1,3,markdown,1.0
1,5,markdown,1.0
2,0,markdown,0.9
2,1,markdown,0.9
2,3,markdown,0.9
2,5,markdown,0.9
3,0,markdown,0.6
3,1,markdown,0.8
3,3,markdown,0.8
3,5,markdown,0.5
4,0,markdown,0.89
4,1,markdown,0.9
4,3,markdown,0.9
4,5,markdown,0.9
5,0,markdown,0.8
5,1,markdown,0.7
5,3,markdown,0.89
5,5,markdown,1.0
6,0,markdown,1.0
6,1,markdown,1.0
6,3,markdown,0.9
6,5,markdown,1.0
7,0,markdown,1.0
7,1,markdown,0.89
7,3,markdown,1.0
7,5,markdown,1.0
8,0,markdown,0.9
8,1,markdown,0.8
8,3,markdown,0.6
8,5,markdown,1.0
9,0,markdown,0.22
9,1,markdown,0.2
9,3,markdown,0.4
9,5,markdown,0.6
10,0,markdown,0.89
10,1,markdown,1.0
10,3,markdown,0.9
10,5,markdown,1.0
