prompt_id,shot,format,reproducibility
1,0,text,0.62
1,0,markdown,0.64
1,0,yaml,0.8
1,0,json,0.8
1,1,text,1.0
1,1,markdown,1.0
1,1,yaml,0.8
1,1,json,0.38
1,3,text,0.8
1,3,markdown,1.0
1,3,yaml,0.8
1,3,json,0.8
1,5,text,1.0
1,5,markdown,1.0
1,5,yaml,0.8
1,5,json,0.49
2,0,text,1.0
2,0,markdown,0.8
2,0,yaml,1.0
2,0,json,0.53
2,1,text,1.0
2,1,markdown,0.8
2,1,yaml,0.8
2,1,json,0.49
2,3,text,0.49
2,3,markdown,0.8
2,3,yaml,0.8
2,3,json,0.8
2,5,text,0.8
2,5,markdown,0.8
2,5,yaml,0.8
2,5,json,0.8
3,0,text,0.29
3,0,markdown,0.29
3,0,yaml,0.4
3,0,json,0.49
3,1,text,0.49
3,1,markdown,0.31
3,1,yaml,0.27
3,1,json,0.8
3,3,text,0.27
3,3,markdown,0.64
3,3,yaml,0.53
3,3,json,0.8
3,5,text,0.36
3,5,markdown,0.44
3,5,yaml,0.38
3,5,json,0.4
4,0,text,0.27
4,0,markdown,0.62
4,0,yaml,0.64
4,0,json,0.49
4,1,text,0.62
4,1,markdown,0.8
4,1,yaml,0.8
4,1,json,0.4
4,3,text,0.8
4,3,markdown,0.8
4,3,yaml,0.8
4,3,json,0.47
4,5,text,1.0
4,5,markdown,0.8
4,5,yaml,0.8
4,5,json,0.62
5,0,text,0.4
5,0,markdown,0.49
5,0,yaml,0.27
5,0,json,0.62
5,1,text,0.4
5,1,markdown,0.27
5,1,yaml,0.49
5,1,json,0.47
5,3,text,0.47
5,3,markdown,0.27
5,3,yaml,0.8
5,3,json,0.49
5,5,text,0.47
5,5,markdown,0.44
5,5,yaml,0.8
5,5,json,0.29
6,0,text,0.53
6,0,markdown,1.0
6,0,yaml,1.0
6,0,json,1.0
6,1,text,0.47
6,1,markdown,0.8
6,1,yaml,0.8
6,1,json,0.8
6,3,text,0.62
6,3,markdown,0.8
6,3,yaml,0.64
6,3,json,0.49
6,5,text,1.0
6,5,markdown,1.0
6,5,yaml,1.0
6,5,json,1.0
7,0,text,1.0
7,0,markdown,0.8
7,0,yaml,1.0
7,0,json,1.0
7,1,text,1.0
7,1,markdown,0.62
7,1,yaml,0.8
7,1,json,1.0
7,3,text,1.0
7,3,markdown,1.0
7,3,yaml,1.0
7,3,json,0.64
7,5,text,1.0
7,5,markdown,1.0
7,5,yaml,0.8
7,5,json,1.0
8,0,text,0.53
8,0,markdown,0.8
8,0,yaml,0.8
8,0,json,0.8
8,1,text,0.27
8,1,markdown,0.62
8,1,yaml,0.8
8,1,json,0.47
8,3,text,0.27
8,3,markdown,0.4
8,3,yaml,0.49
8,3,json,0.53
8,5,text,0.64
8,5,markdown,1.0
8,5,yaml,1.0
8,5,json,0.47
9,0,text,0.29
9,0,markdown,0.22
9,0,yaml,0.38
9,0,json,0.29
9,1,text,0.49
9,1,markdown,0.38
9,1,yaml,0.8
9,1,json,0.4
9,3,text,0.49
9,3,markdown,0.36
9,3,yaml,0.8
9,3,json,0.27
9,5,text,0.62
9,5,markdown,0.4
9,5,yaml,0.22
9,5,json,0.4
10,0,text,0.64
10,0,markdown,0.62
10,0,yaml,0.4
10,0,json,0.8
10,1,text,0.8
10,1,markdown,1.0
10,1,yaml,0.47
10,1,json,0.49
10,3,text,0.36
10,3,markdown,0.8
10,3,yaml,0.8
10,3,json,0.31
10,5,text,1.0
10,5,markdown,1.0
10,5,yaml,1.0
10,5,json,0.8
