prompt_id,shot,format,reproducibility
1,0,yaml,1.0
1,1,yaml,1.0
1,3,yaml,1.0
1,5,yaml,1.0
2,0,yaml,0.4
2,1,yaml,1.0
2,3,yaml,1.0
2,5,yaml,1.0
3,0,yaml,0.8
3,1,yaml,1.0
3,3,yaml,0.8
3,5,yaml,1.0
4,0,yaml,0.47
4,1,yaml,0.31
4,3,yaml,0.8
4,5,yaml,1.0
5,0,yaml,0.31
5,1,yaml,0.62
5,3,yaml,0.47
5,5,yaml,0.36
6,0,yaml,0.8
6,1,yaml,0.53
6,3,yaml,0.8
6,5,yaml,0.8
7,0,yaml,1.0
7,1,yaml,0.8
7,3,yaml,0.8
7,5,yaml,0.8
8,0,yaml,0.53
8,1,yaml,0.53
8,3,yaml,0.38
8,5,yaml,0.62
9,0,yaml,0.64
9,1,yaml,0.8
9,3,yaml,0.36
9,5,yaml,0.27
10,0,yaml,0.49
10,1,yaml,0.64
10,3,yaml,1.0
10,5,yaml,0.53
