prompt_id,shot,format,reproducibility
1,0,text,0.62
1,1,text,1.0
1,3,text,0.8
1,5,text,1.0
2,0,text,1.0
2,1,text,1.0
2,3,text,0.49
2,5,text,0.8
3,0,text,0.29
3,1,text,0.49
3,3,text,0.27
3,5,text,0.36
4,0,text,0.27
4,1,text,0.62
4,3,text,0.8
4,5,text,1.0
5,0,text,0.4
5,1,text,0.4
5,3,text,0.47
5,5,text,0.47
6,0,text,0.53
6,1,text,0.47
6,3,text,0.62
6,5,text,1.0
7,0,text,1.0
7,1,text,1.0
7,3,text,1.0
7,5,text,1.0
8,0,text,0.53
8,1,text,0.27
8,3,text,0.27
8,5,text,0.64
9,0,text,0.29
9,1,text,0.49
9,3,text,0.49
9,5,text,0.62
10,0,text,0.64
10,1,text,0.8
10,3,text,0.36
10,5,text,1.0
