prompt_id,shot,format,accuracy
1,0,json,1.0
1,1,json,0.25
1,3,json,0.9
1,5,json,0.88
2,0,json,0.7
2,1,json,0.12
2,3,json,0.9
2,5,json,1.0
3,0,json,0.9
3,1,json,0.9
3,3,json,1.0
3,5,json,0.7
4,0,json,0.78
4,1,json,0.3
4,3,json,0.33
4,5,json,0.5
5,0,json,0.11
5,1,json,0.6
5,3,json,0.9
5,5,json,1.0
6,0,json,1.0
6,1,json,0.9
6,3,json,0.78
6,5,json,1.0
7,0,json,1.0
7,1,json,1.0
7,3,json,1.0
7,5,json,1.0
8,0,json,1.0
8,1,json,0.6
8,3,json,0.3
8,5,json,0.6
9,0,json,0.4
9,1,json,0.3
9,3,json,0.3
9,5,json,0.0
10,0,json,0.9
10,1,json,0.7
10,3,json,0.38
10,5,json,1.0
