prompt_id,shot,format,accuracy
1,0,text,0.8
1,1,text,1.0
1,3,text,0.9
1,5,text,1.0
2,0,text,1.0
2,1,text,1.0
2,3,text,0.78
2,5,text,0.9
3,0,text,0.6
3,1,text,0.3
3,3,text,0.7
3,5,text,0.5
4,0,text,0.62
4,1,text,0.8
4,3,text,0.9
4,5,text,1.0
5,0,text,0.9
5,1,text,0.9
5,3,text,1.0
5,5,text,1.0
6,0,text,1.0
6,1,text,1.0
6,3,text,0.89
6,5,text,1.0
7,0,text,1.0
7,1,text,1.0
7,3,text,1.0
7,5,text,1.0
8,0,text,1.0
8,1,text,0.62
8,3,text,0.62
8,5,text,0.8
9,0,text,0.4
9,1,text,0.1
9,3,text,0.2
9,5,text,0.8
10,0,text,0.8
10,1,text,0.9
10,3,text,0.75
10,5,text,1.0
