prompt_id,shot,format,reproducibility
1,0,json,0.8
1,1,json,0.38
1,3,json,0.8
1,5,json,0.49
2,0,json,0.53
2,1,json,0.49
2,3,json,0.8
2,5,json,0.8
3,0,json,0.49
3,1,json,0.8
3,3,json,0.8
3,5,json,0.4
4,0,json,0.49
4,1,json,0.4
4,3,json,0.47
4,5,json,0.62
5,0,json,0.62
5,1,json,0.47
5,3,json,0.49
5,5,json,0.29
6,0,json,1.0
6,1,json,0.8
6,3,json,0.49
6,5,json,1.0
7,0,json,1.0
7,1,json,1.0
7,3,json,0.64
7,5,json,1.0
8,0,json,0.8
8,1,json,0.47
8,3,json,0.53
8,5,json,0.47
9,0,json,0.29
9,1,json,0.4
9,3,json,0.27
9,5,json,0.4
10,0,json,0.8
10,1,json,0.49
10,3,json,0.31
10,5,json,0.8
