id,prompt
1,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's a very tasteful rock and roll movie . you could put it on a coffee table anywhere ."
2,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the movie fails to portray its literally talented and notorious subject as anything much more than a dirty old man ."
3,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：the best part about "" gangs "" was daniel day-lewis ."
4,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：I don't think I laughed out loud once . and when you're talking about a slapstick comedy , that's a pretty big problem ."
5,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：it's not a great monster movie . but if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here . chomp chomp !"
6,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：It does exactly what is says.  Can't get any better than that!  Nice to be able to watch movies on the big screen as opposed to my little Nook screen!"
7,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：This product has been working well still and I would definitely purchase from them again."
8,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：These cannot work either of them, so I have to pull out the remote for that one setting.  I don't know why they give you multiple code methods but no learning."
9,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：Would love to give it 5 stars, but the ONE and only thing missing from this is that the charging indicator light doesn't work."
10,"Classify the sentiment of the following sentence using one of the following labels: positive, negative, or neutral. Respond with only the label：Looks better on line than the actual camera photo album - Still nice!"
