prompt_id,shot,format,accuracy
1,0,text,1
1,0,markdown,1
1,0,yaml,1
1,0,json,1
1,1,text,1
1,1,markdown,1
1,1,yaml,1
1,1,json,0.8
1,3,text,1
1,3,markdown,1
1,3,yaml,1
1,3,json,1
1,5,text,1
1,5,markdown,1
1,5,yaml,1
1,5,json,1
2,0,text,0.4
2,0,markdown,0.8
2,0,yaml,0.67
2,0,json,0.78
2,1,text,0.9
2,1,markdown,1
2,1,yaml,1
2,1,json,0.9
2,3,text,1
2,3,markdown,1
2,3,yaml,1
2,3,json,1
2,5,text,1
2,5,markdown,1
2,5,yaml,1
2,5,json,1
3,0,text,0.9
3,0,markdown,1
3,0,yaml,1
3,0,json,0.9
3,1,text,1
3,1,markdown,1
3,1,yaml,1
3,1,json,0.56
3,3,text,1
3,3,markdown,1
3,3,yaml,1
3,3,json,0.9
3,5,text,1
3,5,markdown,1
3,5,yaml,1
3,5,json,1
4,0,text,0.67
4,0,markdown,0.56
4,0,yaml,0.6
4,0,json,0.67
4,1,text,0.5
4,1,markdown,1
4,1,yaml,0.6
4,1,json,0.8
4,3,text,1
4,3,markdown,1
4,3,yaml,1
4,3,json,1
4,5,text,1
4,5,markdown,1
4,5,yaml,1
4,5,json,0.5
5,0,text,1
5,0,markdown,0.9
5,0,yaml,0.8
5,0,json,0.89
5,1,text,0.67
5,1,markdown,0.88
5,1,yaml,1
5,1,json,unknown
5,3,text,1
5,3,markdown,1
5,3,yaml,1
5,3,json,1
5,5,text,1
5,5,markdown,1
5,5,yaml,0.9
5,5,json,1
6,0,text,1
6,0,markdown,1
6,0,yaml,1
6,0,json,1
6,1,text,1
6,1,markdown,1
6,1,yaml,1
6,1,json,0.5
6,3,text,1
6,3,markdown,1
6,3,yaml,1
6,3,json,0.86
6,5,text,1
6,5,markdown,1
6,5,yaml,1
6,5,json,1
7,0,text,1
7,0,markdown,1
7,0,yaml,1
7,0,json,0.89
7,1,text,1
7,1,markdown,1
7,1,yaml,1
7,1,json,0.89
7,3,text,1
7,3,markdown,1
7,3,yaml,1
7,3,json,1
7,5,text,1
7,5,markdown,1
7,5,yaml,1
7,5,json,1
8,0,text,0.8
8,0,markdown,0.8
8,0,yaml,0.7
8,0,json,0.75
8,1,text,0.5
8,1,markdown,1
8,1,yaml,1
8,1,json,0
8,3,text,0.7
8,3,markdown,1
8,3,yaml,0.75
8,3,json,0.83
8,5,text,1
8,5,markdown,0.9
8,5,yaml,0.89
8,5,json,0.6
9,0,text,0.6
9,0,markdown,0.8
9,0,yaml,0.8
9,0,json,0.9
9,1,text,0.78
9,1,markdown,1
9,1,yaml,1
9,1,json,0.33
9,3,text,1
9,3,markdown,1
9,3,yaml,0.67
9,3,json,1
9,5,text,0.3
9,5,markdown,0.2
9,5,yaml,0.3
9,5,json,0
10,0,text,0.9
10,0,markdown,0.67
10,0,yaml,0.78
10,0,json,0.7
10,1,text,1
10,1,markdown,0.9
10,1,yaml,1
10,1,json,0.89
10,3,text,1
10,3,markdown,0.9
10,3,yaml,1
10,3,json,0.8
10,5,text,0.8
10,5,markdown,0.9
10,5,yaml,0.7
10,5,json,0.4
