prompt_id,shot,format,reproducibility
1,0,text,0.62
1,0,markdown,0.64
1,0,yaml,0.8
1,0,json,0.8
2,0,text,1.0
2,0,markdown,0.8
2,0,yaml,1.0
2,0,json,0.53
3,0,text,0.29
3,0,markdown,0.29
3,0,yaml,0.4
3,0,json,0.49
4,0,text,0.27
4,0,markdown,0.62
4,0,yaml,0.64
4,0,json,0.49
5,0,text,0.4
5,0,markdown,0.49
5,0,yaml,0.27
5,0,json,0.62
6,0,text,0.53
6,0,markdown,1.0
6,0,yaml,1.0
6,0,json,1.0
7,0,text,1.0
7,0,markdown,0.8
7,0,yaml,1.0
7,0,json,1.0
8,0,text,0.53
8,0,markdown,0.8
8,0,yaml,0.8
8,0,json,0.8
9,0,text,0.29
9,0,markdown,0.22
9,0,yaml,0.38
9,0,json,0.29
10,0,text,0.64
10,0,markdown,0.62
10,0,yaml,0.4
10,0,json,0.8
