prompt_id,shot,format,accuracy
1,0,yaml,1
1,1,yaml,1
1,3,yaml,1
1,5,yaml,1
2,0,yaml,0.67
2,1,yaml,1
2,3,yaml,1
2,5,yaml,1
3,0,yaml,1
3,1,yaml,1
3,3,yaml,1
3,5,yaml,1
4,0,yaml,0.6
4,1,yaml,0.6
4,3,yaml,1
4,5,yaml,1
5,0,yaml,0.8
5,1,yaml,1
5,3,yaml,1
5,5,yaml,0.9
6,0,yaml,1
6,1,yaml,1
6,3,yaml,1
6,5,yaml,1
7,0,yaml,1
7,1,yaml,1
7,3,yaml,1
7,5,yaml,1
8,0,yaml,0.7
8,1,yaml,1
8,3,yaml,0.75
8,5,yaml,0.89
9,0,yaml,0.8
9,1,yaml,1
9,3,yaml,0.67
9,5,yaml,0.3
10,0,yaml,0.78
10,1,yaml,1
10,3,yaml,1
10,5,yaml,0.7
